activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration
Sleep,Refresh,1543536136045,Fri Nov 30 01:02:16 GMT+01:00 2018,1543558986238,Fri Nov 30 07:23:06 GMT+01:00 2018,22850193,6 h 20 min
WC ,Personal Hygiene,1543558986238,Fri Nov 30 07:23:06 GMT+01:00 2018,1543559766238,Fri Nov 30 07:36:06 GMT+01:00 2018,780000,13 min
Sleep,Refresh,1543559766238,Fri Nov 30 07:36:06 GMT+01:00 2018,1543567857421,Fri Nov 30 09:50:57 GMT+01:00 2018,8091183,2 h 14 min
Learning - Language,Learning,1543567857421,Fri Nov 30 09:50:57 GMT+01:00 2018,1543570113419,Fri Nov 30 10:28:33 GMT+01:00 2018,2255998,37 min
Social - girl,Social - Persist,1543570113419,Fri Nov 30 10:28:33 GMT+01:00 2018,1543572544502,Fri Nov 30 11:09:04 GMT+01:00 2018,2431083,40 min
Better Now,Ease up your life,1543572544502,Fri Nov 30 11:09:04 GMT+01:00 2018,1543573744502,Fri Nov 30 11:29:04 GMT+01:00 2018,1200000,20 min
Food,Feeding,1543573744502,Fri Nov 30 11:29:04 GMT+01:00 2018,1543574344502,Fri Nov 30 11:39:04 GMT+01:00 2018,600000,10 min
Sport,Sport,1543574344502,Fri Nov 30 11:39:04 GMT+01:00 2018,1543575124502,Fri Nov 30 11:52:04 GMT+01:00 2018,780000,13 min
Food - Prepare,Feeding,1543575124502,Fri Nov 30 11:52:04 GMT+01:00 2018,1543575975326,Fri Nov 30 12:06:15 GMT+01:00 2018,850824,14 min
Purpose,Purpose,1543575975326,Fri Nov 30 12:06:15 GMT+01:00 2018,1543582047374,Fri Nov 30 13:47:27 GMT+01:00 2018,6072048,1 h 41 min
Food,Feeding,1543582047374,Fri Nov 30 13:47:27 GMT+01:00 2018,1543582647374,Fri Nov 30 13:57:27 GMT+01:00 2018,600000,10 min
WC - analyzing,Personal Hygiene,1543582647374,Fri Nov 30 13:57:27 GMT+01:00 2018,1543583433192,Fri Nov 30 14:10:33 GMT+01:00 2018,785818,13 min
Clean,Personal Hygiene,1543583433192,Fri Nov 30 14:10:33 GMT+01:00 2018,1543584805370,Fri Nov 30 14:33:25 GMT+01:00 2018,1372178,22 min
Wasted,Wasted Time,1543584805370,Fri Nov 30 14:33:25 GMT+01:00 2018,1543585793339,Fri Nov 30 14:49:53 GMT+01:00 2018,987969,16 min
Walking ,Sport,1543585793339,Fri Nov 30 14:49:53 GMT+01:00 2018,1543586873339,Fri Nov 30 15:07:53 GMT+01:00 2018,1080000,18 min
Bike,Sport,1543586873339,Fri Nov 30 15:07:53 GMT+01:00 2018,1543589191101,Fri Nov 30 15:46:31 GMT+01:00 2018,2317762,38 min
Learning - university,Learning,1543589191101,Fri Nov 30 15:46:31 GMT+01:00 2018,1543598792624,Fri Nov 30 18:26:32 GMT+01:00 2018,9601523,2 h 40 min
Food,Feeding,1543598792624,Fri Nov 30 18:26:32 GMT+01:00 2018,1543600020336,Fri Nov 30 18:47:00 GMT+01:00 2018,1227712,20 min
Analyzing,Personal Adjusting,1543600020336,Fri Nov 30 18:47:00 GMT+01:00 2018,1543600680276,Fri Nov 30 18:58:00 GMT+01:00 2018,659940,10 min
Walking ,Sport,1543600680276,Fri Nov 30 18:58:00 GMT+01:00 2018,1543601820276,Fri Nov 30 19:17:00 GMT+01:00 2018,1140000,19 min
Sport,Sport,1543601820276,Fri Nov 30 19:17:00 GMT+01:00 2018,1543610313472,Fri Nov 30 21:38:33 GMT+01:00 2018,8493196,2 h 21 min
Moving - Analyzing,Transport,1543610313472,Fri Nov 30 21:38:33 GMT+01:00 2018,1543612233472,Fri Nov 30 22:10:33 GMT+01:00 2018,1920000,32 min
moving  - groceries,Shopping,1543612233472,Fri Nov 30 22:10:33 GMT+01:00 2018,1543614394536,Fri Nov 30 22:46:34 GMT+01:00 2018,2161064,36 min
Food - Prepare,Feeding,1543614394536,Fri Nov 30 22:46:34 GMT+01:00 2018,1543615714536,Fri Nov 30 23:08:34 GMT+01:00 2018,1320000,22 min
Food,Feeding,1543615714536,Fri Nov 30 23:08:34 GMT+01:00 2018,1543617094536,Fri Nov 30 23:31:34 GMT+01:00 2018,1380000,23 min
Series / Docu,Entertainment,1543617094536,Fri Nov 30 23:31:34 GMT+01:00 2018,1543620454536,Sat Dec 01 00:27:34 GMT+01:00 2018,3360000,56 min
Better Now,Ease up your life,1543620454536,Sat Dec 01 00:27:34 GMT+01:00 2018,1543621714536,Sat Dec 01 00:48:34 GMT+01:00 2018,1260000,21 min
Purpose - Learning,Purpose,1543621714536,Sat Dec 01 00:48:34 GMT+01:00 2018,1543623299466,Sat Dec 01 01:14:59 GMT+01:00 2018,1584930,26 min
Trello,Personal Adjusting,1543623299466,Sat Dec 01 01:14:59 GMT+01:00 2018,1543624499466,Sat Dec 01 01:34:59 GMT+01:00 2018,1200000,20 min
Analyzing,Personal Adjusting,1543624499466,Sat Dec 01 01:34:59 GMT+01:00 2018,1543624979466,Sat Dec 01 01:42:59 GMT+01:00 2018,480000,8 min
Trello,Personal Adjusting,1543624979466,Sat Dec 01 01:42:59 GMT+01:00 2018,1543625519466,Sat Dec 01 01:51:59 GMT+01:00 2018,540000,9 min
Clean,Personal Hygiene,1543625519466,Sat Dec 01 01:51:59 GMT+01:00 2018,1543626084460,Sat Dec 01 02:01:24 GMT+01:00 2018,564994,9 min
Sleep,Refresh,1543626084460,Sat Dec 01 02:01:24 GMT+01:00 2018,1543654979426,Sat Dec 01 10:02:59 GMT+01:00 2018,28894966,8 h 1 min
WC - learn,Personal Hygiene,1543654979426,Sat Dec 01 10:02:59 GMT+01:00 2018,1543656328380,Sat Dec 01 10:25:28 GMT+01:00 2018,1348954,22 min
Learning - Language,Learning,1543656328380,Sat Dec 01 10:25:28 GMT+01:00 2018,1543658603603,Sat Dec 01 11:03:23 GMT+01:00 2018,2275223,37 min
Social - Close,Social - Persist,1543658603603,Sat Dec 01 11:03:23 GMT+01:00 2018,1543659836191,Sat Dec 01 11:23:56 GMT+01:00 2018,1232588,20 min
Social - girl,Social - Persist,1543659836191,Sat Dec 01 11:23:56 GMT+01:00 2018,1543660136191,Sat Dec 01 11:28:56 GMT+01:00 2018,300000,5 min
Sport,Sport,1543660136191,Sat Dec 01 11:28:56 GMT+01:00 2018,1543660616191,Sat Dec 01 11:36:56 GMT+01:00 2018,480000,8 min
Clean,Personal Hygiene,1543660616191,Sat Dec 01 11:36:56 GMT+01:00 2018,1543662067587,Sat Dec 01 12:01:07 GMT+01:00 2018,1451396,24 min
Cut hair,Personal Hygiene,1543662067587,Sat Dec 01 12:01:07 GMT+01:00 2018,1543663987587,Sat Dec 01 12:33:07 GMT+01:00 2018,1920000,32 min
moving  - groceries,Shopping,1543663987587,Sat Dec 01 12:33:07 GMT+01:00 2018,1543666512046,Sat Dec 01 13:15:12 GMT+01:00 2018,2524459,42 min
Food - Prepare,Feeding,1543666512046,Sat Dec 01 13:15:12 GMT+01:00 2018,1543670703467,Sat Dec 01 14:25:03 GMT+01:00 2018,4191421,1 h 9 min
Food,Feeding,1543670703467,Sat Dec 01 14:25:03 GMT+01:00 2018,1543672192266,Sat Dec 01 14:49:52 GMT+01:00 2018,1488799,24 min
Learning - university,Learning,1543672192266,Sat Dec 01 14:49:52 GMT+01:00 2018,1543678229232,Sat Dec 01 16:30:29 GMT+01:00 2018,6036966,1 h 40 min
Wasted,Wasted Time,1543678229232,Sat Dec 01 16:30:29 GMT+01:00 2018,1543679849232,Sat Dec 01 16:57:29 GMT+01:00 2018,1620000,27 min
WC - analyzing,Personal Hygiene,1543679849232,Sat Dec 01 16:57:29 GMT+01:00 2018,1543680118180,Sat Dec 01 17:01:58 GMT+01:00 2018,268948,4 min
Purpose - Creation,Purpose,1543680118180,Sat Dec 01 17:01:58 GMT+01:00 2018,1543684049365,Sat Dec 01 18:07:29 GMT+01:00 2018,3931185,1 h 5 min
Purpose - Learning,Purpose,1543684049365,Sat Dec 01 18:07:29 GMT+01:00 2018,1543689389365,Sat Dec 01 19:36:29 GMT+01:00 2018,5340000,1 h 29 min
Purpose - Creation,Purpose,1543689389365,Sat Dec 01 19:36:29 GMT+01:00 2018,1543690707210,Sat Dec 01 19:58:27 GMT+01:00 2018,1317845,21 min
Purpose - Creation,Purpose,1543690707210,Sat Dec 01 19:58:27 GMT+01:00 2018,1543691667210,Sat Dec 01 20:14:27 GMT+01:00 2018,960000,16 min
Better Now,Ease up your life,1543691667210,Sat Dec 01 20:14:27 GMT+01:00 2018,1543692937691,Sat Dec 01 20:35:37 GMT+01:00 2018,1270481,21 min
